Country,Internet Users %,GDP/Capita
Cambodia,25.6,4000.0
Ireland,82.2,75500.0
Mauritania,18.0,4400.0
Angola,13.0,6800.0
Saint Pierre and Miquelon,79.5,46200.0
Monaco,95.2,115700.0
Kazakhstan,76.8,26300.0
Romania,59.5,24500.0
Togo,11.3,1700.0
Pakistan,15.5,5400.0
Afghanistan,10.6,2000.0
Mongolia,22.3,13000.0
Wallis and Futuna,22.1,3800.0
Tunisia,50.9,11800.0
"Bahamas, The",80.0,31200.0
San Marino,52.6,58600.0
Turkey,58.3,26900.0
Netherlands,90.4,53600.0
Saudi Arabia,73.8,54800.0
Belarus,71.1,18900.0
Mali,11.1,2200.0
Libya,20.3,10000.0
Vietnam,52.7,6900.0
Tuvalu,46.0,3800.0
Puerto Rico,80.3,37300.0
Italy,61.3,38100.0
Guernsey,83.3,52500.0
Croatia,72.7,24400.0
Brunei,71.2,78200.0
Panama,54.0,25400.0
Estonia,87.2,31800.0
Marshall Islands,29.8,3400.0
Ecuador,54.1,11500.0
Laos,18.2,7400.0
Namibia,31.0,11300.0
Armenia,62.0,9500.0
Vanuatu,24.0,2700.0
Saint Kitts and Nevis,75.7,26800.0
Uzbekistan,46.8,6900.0
Sao Tome and Principe,25.8,3200.0
Philippines,55.5,8300.0
Maldives,59.1,19100.0
Bulgaria,59.8,21700.0
Norway,97.3,71800.0
Ethiopia,15.4,2200.0
Seychelles,56.5,28900.0
Bosnia and Herzegovina,69.3,12700.0
Greenland,68.5,41800.0
Sri Lanka,32.1,12800.0
Germany,89.6,50400.0
Central African Republic,4.6,700.0
"Micronesia, Federated States of",31.5,3400.0
Mexico,59.5,19900.0
Jamaica,45.0,9200.0
Benin,12.0,2300.0
"Korea, South",89.9,39400.0
Cote d'Ivoire,26.5,3900.0
Georgia,50.0,10700.0
Belize,44.6,8300.0
United Kingdom,94.8,44100.0
Papua New Guinea,9.6,3700.0
Colombia,58.1,14500.0
"Gambia, The",18.5,1700.0
Belgium,86.5,46600.0
Chad,5.0,2300.0
Trinidad and Tobago,69.2,31400.0
Zambia,25.5,4000.0
Botswana,39.4,17800.0
American Samoa,31.3,11200.0
El Salvador,29.0,8900.0
Morocco,58.3,8600.0
Malta,77.3,42000.0
Luxembourg,97.5,106300.0
